osm_id,desc,geometry
531351879,Transport infrastructure; Secondary road,"c(-3.1700263, -3.1698734, -3.1697212, -3.1696128, -3.16923681187735, 55.9574236, 55.9574046, 55.9573876, 55.9573762, 55.9573365233586)"
4873510,Transport infrastructure; Tertiary road,"c(-3.1951538, -3.19515867134007, 55.9729858, 55.9729984592787)"
5016411,Transport infrastructure; Tertiary road,"c(-3.18909275706497, -3.189078, 55.9738912533393, 55.9738778)"
20219967,Transport infrastructure; Tertiary road,"c(-3.1711554, -3.1711342, -3.171013, -3.1709685, -3.1708984, -3.1708637, -3.1708376, -3.1707647, -3.170741, -3.1705142, -3.170496, -3.1701634, -3.1700155, -3.1699457, -3.1698608, -3.1694343, -3.1693221, -3.1691476, -3.1690785, -3.1689476, -3.1688534, -3.1688069, -3.16879325221124, 55.9615166, 55.9616001, 55.9621563, 55.9623973, 55.9627324, 55.9628908, 55.9630312, 55.9633453, 55.9634422, 55.9643283, 55.9644296, 55.9656321, 55.9660705, 55.966242, 55.9664035, 55.9670414, 55.9672088, 55.9674008, 55.9674769, 
55.967609, 55.9676981, 55.9677422, 55.9677537240768)"
479898680,Transport infrastructure; Tertiary road,"c(-3.1722150830193, -3.1722246, -3.1722806, 55.957464320692, 55.9575165, 55.9575983)"
479898682,Transport infrastructure; Tertiary road,"c(-3.17216778416895, -3.1720429, 55.9574622911028, 55.9575928)"
19754359,Transport infrastructure; Primary Road,"c(-3.16922296746726, -3.169204, -3.168717, -3.1684816, -3.1681697, 55.9573359292963, 55.9573356, 55.9573291, 55.9573229, 55.9573092)"
165848409,Transport infrastructure; Primary Road,"c(-3.18437959396159, -3.1843716, -3.1843336, -3.1843015, -3.1842768, -3.1842617, -3.1842541, -3.18425439519235, 55.9580961669873, 55.9580945, 55.9580809, 55.9580631, 55.958042, 55.9580206, 55.9579979, 55.9579809264401)"
183699653,Transport infrastructure; Primary Road,"c(-3.1832743, -3.18332588757901, 55.9593043, 55.9592641763274)"
215135418,Transport infrastructure; Primary Road,"c(-3.189078, -3.1888346, -3.188784, -3.1887559, -3.1875209, -3.1859558, -3.1859213, -3.1853966, -3.1839748, -3.1836106, -3.1829077, -3.1825374, -3.1823263, -3.1819025, -3.1812739, -3.1811097, -3.1810855513464, 55.9738778, 55.9739106, 55.9739174, 55.9739215, 55.974102, 55.9743328, 55.974338, 55.9744198, 55.9746286, 55.974678, 55.9747787, 55.9748321, 55.9748626, 55.9749236, 55.9750252, 55.9750503, 55.9750539783114)"
385197914,Transport infrastructure; Primary Road,"c(-3.18316861934137, -3.1813114, -3.1810731, 55.9595368323533, 55.9609474, 55.9610566)"
62114658,Transport infrastructure; Service access,"c(-3.1923700966204, -3.1923624, 55.9734088875891, 55.9733979)"
73014412,Transport infrastructure; Service access,"c(-3.1644178, -3.16371375230797, 55.9634286, 55.9636079993734)"
110407549,Transport infrastructure; Service access,"c(-3.1928095, -3.19281593169947, 55.9733315, 55.9733432686416)"
110407565,Transport infrastructure; Service access,"c(-3.19669751496064, -3.1966901, 55.972771969028, 55.9727585)"
262233248,Transport infrastructure; Service access,"c(-3.1960028, -3.19603940536604, 55.9620709, 55.9620419282653)"
336427564,Transport infrastructure; Service access,"c(-3.1681306, -3.16813401086289, 55.9573074, 55.9572892022713)"
424083643,Transport infrastructure; Service access,"c(-3.1823263, -3.18233701297545, 55.9748626, 55.9748855780074)"
460574539,Transport infrastructure; Service access,"c(-3.1687657, -3.1686905, -3.1686448, -3.1685807, -3.1685233, -3.16801522238635, 55.9672775, 55.9672579, 55.9672566, 55.9672522, 55.9672456, 55.9670684237433)"
