osm_id,desc,geometry
370523157,Amenity; Bicycle parking,"c(-3.1970678, 55.9634754)"
446759691,Amenity; Bicycle parking,"c(-3.1763313, 55.9654602)"
446759692,Amenity; Bicycle parking,"c(-3.1769642, 55.964803)"
446759693,Amenity; Bicycle parking,"c(-3.1797874, 55.9618573)"
446759694,Amenity; Bicycle parking,"c(-3.1810341, 55.9614066)"
588498436,Amenity; Bicycle parking,"c(-3.1728507, 55.9690135)"
778778367,Amenity; Bicycle parking,"c(-3.174963, 55.9670709)"
1004534942,Amenity; Bicycle parking,"c(-3.1742071, 55.9647669)"
1094601825,Amenity; Bicycle parking,"c(-3.183601, 55.9598707)"
1094601864,Amenity; Bicycle parking,"c(-3.1782343, 55.9634168)"
1094601867,Amenity; Bicycle parking,"c(-3.1818678, 55.9606353)"
1094601964,Amenity; Bicycle parking,"c(-3.1768207, 55.9649663)"
1094601974,Amenity; Bicycle parking,"c(-3.190225, 55.9645028)"
1151066363,Amenity; Bicycle parking,"c(-3.1833696, 55.9588266)"
1151066365,Amenity; Bicycle parking,"c(-3.1755965, 55.9658761)"
1151066373,Amenity; Bicycle parking,"c(-3.1743716, 55.9673457)"
1151066385,Amenity; Bicycle parking,"c(-3.1809491, 55.9608269)"
1151066389,Amenity; Bicycle parking,"c(-3.1789369, 55.9625906)"
1835565708,Amenity; Bicycle parking,"c(-3.1812115, 55.9614848)"
2558442565,Amenity; Bicycle parking,"c(-3.1796142, 55.9632358)"
2900962927,Amenity; Bicycle parking,"c(-3.1900622, 55.9611799)"
3764274253,Amenity; Bicycle parking,"c(-3.1967376, 55.9632048)"
4198193289,Amenity; Bicycle parking,"c(-3.1718897, 55.9579316)"
4198194189,Amenity; Bicycle parking,"c(-3.1717657, 55.9585304)"
4357695664,Amenity; Bicycle parking,"c(-3.1795314, 55.9624834)"
4357695668,Amenity; Bicycle parking,"c(-3.1798935, 55.9626516)"
4357695671,Amenity; Bicycle parking,"c(-3.1800035, 55.9627221)"
4357695676,Amenity; Bicycle parking,"c(-3.1789386, 55.9629233)"
4357695679,Amenity; Bicycle parking,"c(-3.179003, 55.9630202)"
4708341503,Amenity; Bicycle parking,"c(-3.1841872, 55.9581701)"
4710039653,Amenity; Bicycle parking,"c(-3.1782817, 55.9594167)"
4783621621,Amenity; Bicycle parking,"c(-3.1733173, 55.968659)"
4831422241,Amenity; Bicycle parking,"c(-3.1814771, 55.9609675)"
5111282806,Amenity; Bicycle parking,"c(-3.1926207, 55.9647273)"
5211143805,Amenity; Bicycle parking,"c(-3.1803998, 55.9614161)"
5211147129,Amenity; Bicycle parking,"c(-3.1773837, 55.9643024)"
5600831837,Amenity; Bicycle parking,"c(-3.1811468, 55.9612112)"
5600831838,Amenity; Bicycle parking,"c(-3.1803167, 55.9618005)"
5600831839,Amenity; Bicycle parking,"c(-3.1784137, 55.9633469)"
5600831850,Amenity; Bicycle parking,"c(-3.1752379, 55.9667727)"
5909679294,Amenity; Bicycle parking,"c(-3.1706165, 55.9632087)"
5998949188,Amenity; Bicycle parking,"c(-3.1785531, 55.962937)"
6171168443,Amenity; Bicycle parking,"c(-3.186471, 55.9701959)"
6171168444,Amenity; Bicycle parking,"c(-3.1865448, 55.9702454)"
6937246350,Amenity; Bicycle parking,"c(-3.1884545, 55.9657248)"
7142788330,Amenity; Bicycle parking,"c(-3.1953384, 55.9634377)"
7235081604,Amenity; Bicycle parking,"c(-3.1956455, 55.9639932)"
7985668498,Amenity; Bicycle parking,"c(-3.1786832, 55.9595904)"
7985668499,Amenity; Bicycle parking,"c(-3.1765341, 55.9582316)"
8010669821,Amenity; Bicycle parking,"c(-3.1890448, 55.9625953)"
8010669823,Amenity; Bicycle parking,"c(-3.191868, 55.9632936)"
8010669824,Amenity; Bicycle parking,"c(-3.1888982, 55.9626009)"
8018318559,Amenity; Bicycle parking,"c(-3.1867245, 55.9704353)"
3215553871,Amenity; Parking,"c(-3.1859429, 55.963408)"
3215553895,Amenity; Parking,"c(-3.186122, 55.9635172)"
875681366,Amenity; ATM,"c(-3.1964986, 55.9631054)"
1946701869,Amenity; ATM,"c(-3.1843927, 55.9744911)"
2164687451,Amenity; ATM,"c(-3.1803838, 55.9613719)"
2425708233,Amenity; ATM,"c(-3.1784175, 55.9634189)"
2498181336,Amenity; ATM,"c(-3.1715527, 55.959363)"
2911099961,Amenity; ATM,"c(-3.1829672, 55.9593445)"
3271097533,Amenity; ATM,"c(-3.1719148, 55.958759)"
3961436098,Amenity; ATM,"c(-3.1793359, 55.9626459)"
3966744434,Amenity; ATM,"c(-3.1791431, 55.9623313)"
3966870211,Amenity; ATM,"c(-3.1753064, 55.9662008)"
3966870213,Amenity; ATM,"c(-3.1746871, 55.9669407)"
5568340754,Amenity; ATM,"c(-3.1824894, 55.9597386)"
5600831845,Amenity; ATM,"c(-3.1763311, 55.965582)"
6433832428,Amenity; ATM,"c(-3.1704565, 55.9575606)"
5569731008,Amenity; Fountain (decorative),"c(-3.1906332, 55.9717219)"
365754840,Hospitality; Eateries and restaurants,"c(-3.1913555, 55.973272)"
573376792,Hospitality; Eateries and restaurants,"c(-3.1806963, 55.96104)"
573457334,Hospitality; Eateries and restaurants,"c(-3.171422, 55.9612894)"
573458534,Hospitality; Eateries and restaurants,"c(-3.190026, 55.9651802)"
